city,timestamp,date,hour,month,day_of_year,is_daylight,temperature,humidity,wind_speed,cloudcover,uv_index,solar_elevation_deg,solar_azimuth_deg,solar_angle,cloud_factor,temp_efficiency,uv_factor,clear_sky_ghi_wm2,ghi_wm2,poa_irradiance_wm2,cell_temperature_c,production_kw,hourly_production_kwh,solar_potential,load_kwh,system_hourly_kwh,self_consumed_kwh,grid_export_kwh,grid_import_kwh
Turin,2026-01-01T10:00:00+01:00,2026-01-01,10,1,1,1,5.14,70,8.2,66,1.4,13.531,350.405,0.233975,0.809894,1.0,0.14,199.64,150.86,279.68,13.88,0.599065,0.599065,0.599065,0.283374,0.599065,0.283374,0.315691,0.0
Turin,2026-01-01T11:00:00+01:00,2026-01-01,11,1,1,1,4.97,73,9.84,68,2.0,18.702,352.426,0.320649,0.788374,1.0,0.2,292.9,212.68,352.09,15.97,0.754185,0.754185,0.754185,0.231596,0.754185,0.231596,0.522589,0.0
Turin,2026-01-01T12:00:00+01:00,2026-01-01,12,1,1,1,5.74,81,7.8,77,2.2,21.507,357.003,0.36661,0.693623,1.0,0.22,342.7,211.3,326.83,15.95,0.700075,0.700075,0.700075,0.222825,0.700075,0.222825,0.47725,0.0
Turin,2026-01-01T13:00:00+01:00,2026-01-01,13,1,1,1,6.76,66,10.14,65,2.5,21.637,2.487,0.368727,0.821236,1.0,0.25,345.0,269.71,434.65,20.34,0.931014,0.931014,0.931014,0.235426,0.931014,0.235426,0.695588,0.0
Turin,2026-01-01T14:00:00+01:00,2026-01-01,14,1,1,1,7.18,77,10.08,77,1.9,19.078,7.221,0.326856,0.688671,1.0,0.19,299.62,186.59,297.18,16.46,0.636565,0.636565,0.636565,0.260762,0.636565,0.260762,0.375803,0.0
Turin,2026-01-01T15:00:00+01:00,2026-01-01,15,1,1,1,6.98,76,10.72,78,1.3,14.114,9.561,0.243848,0.671991,1.0,0.13,210.21,128.35,222.59,13.93,0.476796,0.476796,0.476796,0.305883,0.476796,0.305883,0.170913,0.0
Turin,2026-01-01T16:00:00+01:00,2026-01-01,16,1,1,1,7.24,74,9.38,77,0.6,7.202,7.603,0.125363,0.69318,1.0,0.06,85.98,54.61,126.17,11.18,0.270255,0.270255,0.270255,0.379884,0.270255,0.270255,0.0,0.109629
Turin,2026-01-01T17:00:00+01:00,2026-01-01,17,1,1,0,4.87,78,10.24,69,0.0,-1.176,0.0,0.0,0.781805,1.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.478579,0.0,0.0,0.0,0.478579
Turin,2026-01-01T18:00:00+01:00,2026-01-01,18,1,1,0,5.1,80,8.15,84,0.0,-10.596,0.0,0.0,0.595486,1.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.577095,0.0,0.0,0.0,0.577095
Turin,2026-01-01T19:00:00+01:00,2026-01-01,19,1,1,0,3.05,79,9.28,73,0.0,-20.705,0.0,0.0,0.740914,1.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.637989,0.0,0.0,0.0,0.637989
Turin,2026-01-01T20:00:00+01:00,2026-01-01,20,1,1,0,3.02,79,8.69,75,0.0,-31.199,0.001,0.0,0.71344,1.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.63237,0.0,0.0,0.0,0.63237
Turin,2026-01-01T21:00:00+01:00,2026-01-01,21,1,1,0,1.74,84,10.47,74,0.0,-41.76,180.0,0.0,0.72597,1.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.558656,0.0,0.0,0.0,0.558656
Turin,2026-01-01T22:00:00+01:00,2026-01-01,22,1,1,0,1.57,89,7.59,67,0.0,-51.952,180.0,0.0,0.801316,1.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.443441,0.0,0.0,0.0,0.443441
Turin,2026-01-01T23:00:00+01:00,2026-01-01,23,1,1,0,0.41,91,7.89,83,0.0,-60.947,180.0,0.0,0.599011,1.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.324257,0.0,0.0,0.0,0.324257
Turin,2026-01-02T00:00:00+01:00,2026-01-02,0,1,2,0,3.43,88,8.45,88,0.0,-66.84,180.0,0.0,0.516919,1.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.111498,0.0,0.0,0.0,0.111498
Turin,2026-01-02T01:00:00+01:00,2026-01-02,1,1,2,0,2.81,82,9.07,89,0.0,-67.2,180.0,0.0,0.503597,1.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.111714,0.0,0.0,0.0,0.111714
Turin,2026-01-02T02:00:00+01:00,2026-01-02,2,1,2,0,1.97,84,9.26,84,0.0,-61.677,180.0,0.0,0.591505,1.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.113337,0.0,0.0,0.0,0.113337
Turin,2026-01-02T03:00:00+01:00,2026-01-02,3,1,2,0,1.95,91,9.24,90,0.0,-52.894,180.0,0.0,0.488376,1.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.121894,0.0,0.0,0.0,0.121894
Turin,2026-01-02T04:00:00+01:00,2026-01-02,4,1,2,0,2.26,88,8.86,89,0.0,-42.781,180.0,0.0,0.500297,1.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.152952,0.0,0.0,0.0,0.152952
Turin,2026-01-02T05:00:00+01:00,2026-01-02,5,1,2,0,3.69,88,10.16,81,0.0,-32.235,359.997,0.0,0.629155,1.0,0.0,0.0,0.0,0.0,3.69,0.0,0.0,0.0,0.22867,0.0,0.0,0.0,0.22867
Turin,2026-01-02T06:00:00+01:00,2026-01-02,6,1,2,0,4.42,83,7.86,80,0.0,-21.717,360.0,0.0,0.647711,1.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.346617,0.0,0.0,0.0,0.346617
Turin,2026-01-02T07:00:00+01:00,2026-01-02,7,1,2,0,5.72,73,7.67,83,0.0,-11.552,360.0,0.0,0.599539,1.0,0.0,0.0,0.0,0.0,5.72,0.0,0.0,0.0,0.447658,0.0,0.0,0.0,0.447658
Turin,2026-01-02T08:00:00+01:00,2026-01-02,8,1,2,0,6.42,76,8.63,82,0.0,-2.041,360.0,0.0,0.625216,1.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,0.457826,0.0,0.0,0.0,0.457826
Turin,2026-01-02T09:00:00+01:00,2026-01-02,9,1,2,1,6.78,72,10.46,91,0.4,6.467,352.864,0.112635,0.474114,1.0,0.04,73.25,32.19,72.2,9.04,0.154652,0.154652,0.154652,0.378131,0.154652,0.154652,0.0,0.223479
Turin,2026-01-02T10:00:00+01:00,2026-01-02,10,1,2,1,9.15,71,7.68,88,1.1,13.557,350.341,0.234418,0.527993,1.0,0.11,200.12,98.09,165.12,14.31,0.353688,0.353688,0.353688,0.283476,0.353688,0.283476,0.070212,0.0
Turin,2026-01-02T11:00:00+01:00,2026-01-02,11,1,2,1,9.95,73,8.3,82,1.7,18.749,352.36,0.321429,0.612092,1.0,0.17,293.74,165.86,259.56,18.07,0.555969,0.555969,0.555969,0.231679,0.555969,0.231679,0.32429,0.0
Turin,2026-01-02T12:00:00+01:00,2026-01-02,12,1,2,1,10.27,63,9.31,89,1.8,21.576,356.949,0.367737,0.511274,1.0,0.18,343.92,170.0,250.98,18.12,0.537593,0.537593,0.537593,0.222905,0.537593,0.222905,0.314688,0.0
Turin,2026-01-02T13:00:00+01:00,2026-01-02,13,1,2,1,9.21,76,9.22,88,1.9,21.727,2.459,0.370186,0.52645,1.0,0.19,346.58,166.16,245.72,16.89,0.526342,0.526342,0.526342,0.235511,0.526342,0.235511,0.290831,0.0
Turin,2026-01-02T14:00:00+01:00,2026-01-02,14,1,2,1,11.05,61,8.72,81,1.8,19.184,7.23,0.32861,0.632535,1.0,0.18,301.51,186.05,290.99,20.14,0.623298,0.623298,0.623298,0.260857,0.623298,0.260857,0.362441,0.0
Turin,2026-01-02T15:00:00+01:00,2026-01-02,15,1,2,1,10.0,69,11.49,80,1.3,14.232,9.616,0.245842,0.651642,1.0,0.13,212.34,130.18,223.45,16.99,0.478626,0.478626,0.478626,0.305994,0.478626,0.305994,0.172632,0.0
Turin,2026-01-02T16:00:00+01:00,2026-01-02,16,1,2,1,9.83,65,10.27,82,0.5,7.326,7.722,0.127522,0.61687,1.0,0.05,88.16,52.0,115.35,13.43,0.247083,0.247083,0.247083,0.380022,0.247083,0.247083,0.0,0.132939
Turin,2026-01-02T17:00:00+01:00,2026-01-02,17,1,2,0,9.33,68,10.41,92,0.0,-1.048,0.0,0.0,0.440335,1.0,0.0,0.0,0.0,0.0,9.33,0.0,0.0,0.0,0.478752,0.0,0.0,0.0,0.478752
Turin,2026-01-02T18:00:00+01:00,2026-01-02,18,1,2,0,8.84,69,11.42,96,0.0,-10.466,0.0,0.0,0.371201,1.0,0.0,0.0,0.0,0.0,8.84,0.0,0.0,0.0,0.577303,0.0,0.0,0.0,0.577303
Turin,2026-01-02T19:00:00+01:00,2026-01-02,19,1,2,0,6.86,77,10.72,97,0.0,-20.574,0.0,0.0,0.347414,1.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.63822,0.0,0.0,0.0,0.63822
Turin,2026-01-02T20:00:00+01:00,2026-01-02,20,1,2,0,5.8,75,10.59,91,0.0,-31.068,0.001,0.0,0.46423,1.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.632598,0.0,0.0,0.0,0.632598
Turin,2026-01-02T21:00:00+01:00,2026-01-02,21,1,2,0,5.14,78,10.07,98,0.0,-41.629,180.0,0.0,0.334768,1.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.558858,0.0,0.0,0.0,0.558858
Turin,2026-01-02T22:00:00+01:00,2026-01-02,22,1,2,0,4.66,74,11.08,81,0.0,-51.822,180.0,0.0,0.637561,1.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.443601,0.0,0.0,0.0,0.443601
Turin,2026-01-02T23:00:00+01:00,2026-01-02,23,1,2,0,4.25,81,9.3,79,0.0,-60.821,180.0,0.0,0.665058,1.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.324374,0.0,0.0,0.0,0.324374
Turin,2026-01-03T00:00:00+01:00,2026-01-03,0,1,3,0,0.31,82,7.86,62,0.0,-66.729,180.0,0.0,0.845746,1.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.111535,0.0,0.0,0.0,0.111535
Turin,2026-01-03T01:00:00+01:00,2026-01-03,1,1,3,0,0.33,84,7.38,56,0.0,-67.135,180.0,0.0,0.885924,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.111751,0.0,0.0,0.0,0.111751
Turin,2026-01-03T02:00:00+01:00,2026-01-03,2,1,3,0,-1.24,93,8.03,62,0.0,-61.659,180.0,0.0,0.841925,1.0,0.0,0.0,0.0,0.0,-1.24,0.0,0.0,0.0,0.113375,0.0,0.0,0.0,0.113375
Turin,2026-01-03T03:00:00+01:00,2026-01-03,3,1,3,0,0.21,91,7.67,67,0.0,-52.902,180.0,0.0,0.801027,1.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.121935,0.0,0.0,0.0,0.121935
Turin,2026-01-03T04:00:00+01:00,2026-01-03,4,1,3,0,-0.14,81,8.11,57,0.0,-42.8,180.0,0.0,0.878841,1.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.153003,0.0,0.0,0.0,0.153003
Turin,2026-01-03T05:00:00+01:00,2026-01-03,5,1,3,0,1.45,82,7.81,64,0.0,-32.256,359.997,0.0,0.831616,1.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.228746,0.0,0.0,0.0,0.228746
Turin,2026-01-03T06:00:00+01:00,2026-01-03,6,1,3,0,1.78,82,7.77,65,0.0,-21.736,360.0,0.0,0.817163,1.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.346733,0.0,0.0,0.0,0.346733
Turin,2026-01-03T07:00:00+01:00,2026-01-03,7,1,3,0,3.04,83,6.98,63,0.0,-11.563,360.0,0.0,0.838293,1.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.447808,0.0,0.0,0.0,0.447808
Turin,2026-01-03T08:00:00+01:00,2026-01-03,8,1,3,0,4.14,77,7.56,55,0.0,-2.042,360.0,0.0,0.894608,1.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.457979,0.0,0.0,0.0,0.457979
Turin,2026-01-03T09:00:00+01:00,2026-01-03,9,1,3,1,4.32,80,8.24,69,0.5,6.481,352.815,0.11288,0.779721,1.0,0.05,73.49,50.95,129.08,8.35,0.276494,0.276494,0.276494,0.378257,0.276494,0.276494,0.0,0.101763
Turin,2026-01-03T10:00:00+01:00,2026-01-03,10,1,3,1,6.37,73,7.52,51,1.6,13.59,350.272,0.23497,0.913948,1.0,0.16,200.71,168.94,330.66,16.7,0.708273,0.708273,0.708273,0.320742,0.708273,0.320742,0.387531,0.0
Turin,2026-01-03T11:00:00+01:00,2026-01-03,11,1,3,1,5.56,70,8.77,65,2.1,18.803,352.291,0.322318,0.814417,1.0,0.21,294.71,224.47,374.05,17.25,0.801224,0.801224,0.801224,0.268928,0.801224,0.268928,0.532296,0.0
Turin,2026-01-03T12:00:00+01:00,2026-01-03,12,1,3,1,7.99,70,9.42,69,2.4,21.652,356.894,0.368971,0.7778,1.0,0.24,345.26,250.93,397.13,20.4,0.850643,0.850643,0.850643,0.260151,0.850643,0.260151,0.590492,0.0
Turin,2026-01-03T13:00:00+01:00,2026-01-03,13,1,3,1,7.93,68,6.95,58,2.7,21.824,2.431,0.37175,0.872964,1.0,0.27,348.28,286.95,471.07,22.65,1.009029,1.009029,1.009029,0.272761,1.009029,0.272761,0.736268,0.0
Turin,2026-01-03T14:00:00+01:00,2026-01-03,14,1,3,1,7.0,65,8.88,61,2.2,19.297,7.241,0.330464,0.853204,1.0,0.22,303.52,247.76,416.78,20.02,0.892748,0.892748,0.892748,0.298115,0.892748,0.298115,0.594633,0.0
Turin,2026-01-03T15:00:00+01:00,2026-01-03,15,1,3,1,6.86,71,10.49,55,1.6,14.355,9.677,0.247929,0.891745,1.0,0.16,214.58,178.36,337.0,17.39,0.721858,0.721858,0.721858,0.343267,0.721858,0.343267,0.378591,0.0
Turin,2026-01-03T16:00:00+01:00,2026-01-03,16,1,3,1,6.46,76,9.27,71,0.6,7.456,7.846,0.129768,0.757193,1.0,0.06,90.43,62.25,145.0,10.99,0.310599,0.310599,0.310599,0.41732,0.310599,0.310599,0.0,0.106721
Turin,2026-01-03T17:00:00+01:00,2026-01-03,17,1,3,0,5.64,76,10.61,60,0.0,-0.915,0.0,0.0,0.855823,1.0,0.0,0.0,0.0,0.0,5.64,0.0,0.0,0.0,0.478913,0.0,0.0,0.0,0.478913
Turin,2026-01-03T18:00:00+01:00,2026-01-03,18,1,3,0,5.51,69,10.86,55,0.0,-10.331,0.0,0.0,0.890673,1.0,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,0.577497,0.0,0.0,0.0,0.577497
Turin,2026-01-03T19:00:00+01:00,2026-01-03,19,1,3,0,3.81,77,9.26,62,0.0,-20.44,0.0,0.0,0.844012,1.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.638434,0.0,0.0,0.0,0.638434
Turin,2026-01-03T20:00:00+01:00,2026-01-03,20,1,3,0,3.56,74,8.22,70,0.0,-30.933,0.001,0.0,0.769793,1.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.63281,0.0,0.0,0.0,0.63281
Turin,2026-01-03T21:00:00+01:00,2026-01-03,21,1,3,0,2.36,84,9.42,74,0.0,-41.495,180.0,0.0,0.729537,1.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.559045,0.0,0.0,0.0,0.559045
Turin,2026-01-03T22:00:00+01:00,2026-01-03,22,1,3,0,2.59,85,8.98,72,0.0,-51.688,180.0,0.0,0.749162,1.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.44375,0.0,0.0,0.0,0.44375
Turin,2026-01-03T23:00:00+01:00,2026-01-03,23,1,3,0,-0.1,88,6.5,64,0.0,-60.691,180.0,0.0,0.82841,1.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.324482,0.0,0.0,0.0,0.324482
Turin,2026-01-04T00:00:00+01:00,2026-01-04,0,1,4,0,-1.93,95,9.41,63,0.0,-66.611,180.0,0.0,0.833773,1.0,0.0,0.0,0.0,0.0,-1.93,0.0,0.0,0.0,0.11157,0.0,0.0,0.0,0.11157
Turin,2026-01-04T01:00:00+01:00,2026-01-04,1,1,4,0,-3.06,94,6.45,59,0.0,-67.063,180.0,0.0,0.86496,1.0,0.0,0.0,0.0,0.0,-3.06,0.0,0.0,0.0,0.111786,0.0,0.0,0.0,0.111786
Turin,2026-01-04T02:00:00+01:00,2026-01-04,2,1,4,0,-3.48,96,7.1,60,0.0,-61.635,180.0,0.0,0.858633,1.0,0.0,0.0,0.0,0.0,-3.48,0.0,0.0,0.0,0.11341,0.0,0.0,0.0,0.11341
Turin,2026-01-04T03:00:00+01:00,2026-01-04,3,1,4,0,-2.11,87,8.74,48,0.0,-52.904,180.0,0.0,0.930902,1.0,0.0,0.0,0.0,0.0,-2.11,0.0,0.0,0.0,0.121973,0.0,0.0,0.0,0.121973
Turin,2026-01-04T04:00:00+01:00,2026-01-04,4,1,4,0,-2.63,86,8.31,54,0.0,-42.814,180.0,0.0,0.897855,1.0,0.0,0.0,0.0,0.0,-2.63,0.0,0.0,0.0,0.153051,0.0,0.0,0.0,0.153051
Turin,2026-01-04T05:00:00+01:00,2026-01-04,5,1,4,0,-1.64,88,7.48,62,0.0,-32.273,359.996,0.0,0.843804,1.0,0.0,0.0,0.0,0.0,-1.64,0.0,0.0,0.0,0.228817,0.0,0.0,0.0,0.228817
Turin,2026-01-04T06:00:00+01:00,2026-01-04,6,1,4,0,-0.79,91,7.33,52,0.0,-21.749,360.0,0.0,0.91137,1.0,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,0.34684,0.0,0.0,0.0,0.34684
Turin,2026-01-04T07:00:00+01:00,2026-01-04,7,1,4,0,-0.36,92,7.79,60,0.0,-11.569,360.0,0.0,0.856488,1.0,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,0.447946,0.0,0.0,0.0,0.447946
Turin,2026-01-04T08:00:00+01:00,2026-01-04,8,1,4,0,0.49,87,7.8,64,0.0,-2.037,360.0,0.0,0.823154,1.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.45812,0.0,0.0,0.0,0.45812
Turin,2026-01-04T09:00:00+01:00,2026-01-04,9,1,4,1,1.23,79,8.08,63,0.6,6.502,352.759,0.113229,0.837357,1.0,0.06,73.84,55.3,144.29,5.74,0.309064,0.309064,0.309064,0.378374,0.309064,0.309064,0.0,0.06931
Turin,2026-01-04T10:00:00+01:00,2026-01-04,10,1,4,1,2.46,77,8.07,42,1.7,13.629,350.197,0.23563,0.953471,1.0,0.17,201.41,173.93,351.5,13.45,0.752915,0.752915,0.752915,0.320841,0.752915,0.320841,0.432074,0.0
Turin,2026-01-04T11:00:00+01:00,2026-01-04,11,1,4,1,3.04,82,9.08,58,2.2,18.864,352.218,0.323316,0.873033,1.0,0.22,295.79,228.3,389.87,15.22,0.83511,0.83511,0.83511,0.269011,0.83511,0.269011,0.566099,0.0
Turin,2026-01-04T12:00:00+01:00,2026-01-04,12,1,4,1,3.52,83,7.33,58,2.6,21.735,356.838,0.370313,0.873665,1.0,0.26,346.72,265.42,435.87,17.14,0.933638,0.933638,0.933638,0.260231,0.933638,0.260231,0.673407,0.0
Turin,2026-01-04T13:00:00+01:00,2026-01-04,13,1,4,1,4.96,77,8.96,46,2.9,21.927,2.404,0.373418,0.940886,1.0,0.29,350.09,297.41,507.59,20.82,1.087263,1.087263,1.087263,0.272845,1.087263,0.272845,0.814418,0.0
Turin,2026-01-04T14:00:00+01:00,2026-01-04,14,1,4,1,5.43,65,8.65,42,2.6,19.416,7.255,0.332418,0.956612,1.0,0.26,305.64,279.74,501.56,21.1,1.07434,1.07434,1.07434,0.298207,1.07434,0.298207,0.776133,0.0
Turin,2026-01-04T15:00:00+01:00,2026-01-04,15,1,4,1,3.83,78,8.09,57,1.6,14.484,9.742,0.250109,0.882075,1.0,0.16,216.91,172.38,322.31,13.91,0.690393,0.690393,0.690393,0.343373,0.690393,0.343373,0.34702,0.0
Turin,2026-01-04T16:00:00+01:00,2026-01-04,16,1,4,1,5.01,74,10.51,60,0.7,7.591,7.977,0.132099,0.857768,1.0,0.07,92.8,73.1,178.07,10.58,0.38143,0.38143,0.38143,0.417449,0.38143,0.38143,0.0,0.036019
Turin,2026-01-04T17:00:00+01:00,2026-01-04,17,1,4,0,4.1,77,8.81,58,0.0,-0.778,0.0,0.0,0.876991,1.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.47906,0.0,0.0,0.0,0.47906
Turin,2026-01-04T18:00:00+01:00,2026-01-04,18,1,4,0,2.18,86,9.36,57,0.0,-10.193,0.0,0.0,0.881729,1.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.577675,0.0,0.0,0.0,0.577675
Turin,2026-01-04T19:00:00+01:00,2026-01-04,19,1,4,0,1.28,88,9.53,56,0.0,-20.302,0.0,0.0,0.888366,1.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.63863,0.0,0.0,0.0,0.63863
Turin,2026-01-04T20:00:00+01:00,2026-01-04,20,1,4,0,0.16,77,9.05,46,0.0,-30.795,0.001,0.0,0.941854,1.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.633005,0.0,0.0,0.0,0.633005
Turin,2026-01-04T21:00:00+01:00,2026-01-04,21,1,4,0,-0.95,89,9.36,58,0.0,-41.357,180.0,0.0,0.872476,1.0,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.559217,0.0,0.0,0.0,0.559217
Turin,2026-01-04T22:00:00+01:00,2026-01-04,22,1,4,0,-0.71,81,7.49,54,0.0,-51.55,180.0,0.0,0.900528,1.0,0.0,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.443887,0.0,0.0,0.0,0.443887
Turin,2026-01-04T23:00:00+01:00,2026-01-04,23,1,4,0,-1.66,84,8.22,48,0.0,-60.556,180.0,0.0,0.931379,1.0,0.0,0.0,0.0,0.0,-1.66,0.0,0.0,0.0,0.324582,0.0,0.0,0.0,0.324582
Turin,2026-01-05T00:00:00+01:00,2026-01-05,0,1,5,0,-2.69,90,9.0,47,0.0,-66.487,180.0,0.0,0.937171,1.0,0.0,0.0,0.0,0.0,-2.69,0.0,0.0,0.0,0.111601,0.0,0.0,0.0,0.111601
Turin,2026-01-05T01:00:00+01:00,2026-01-05,1,1,5,0,-2.65,85,8.52,52,0.0,-66.984,180.0,0.0,0.913427,1.0,0.0,0.0,0.0,0.0,-2.65,0.0,0.0,0.0,0.111817,0.0,0.0,0.0,0.111817
Turin,2026-01-05T02:00:00+01:00,2026-01-05,2,1,5,0,-2.72,89,7.82,47,0.0,-61.603,180.0,0.0,0.936357,1.0,0.0,0.0,0.0,0.0,-2.72,0.0,0.0,0.0,0.113442,0.0,0.0,0.0,0.113442
Turin,2026-01-05T03:00:00+01:00,2026-01-05,3,1,5,0,-2.41,86,8.11,51,0.0,-52.9,180.0,0.0,0.915551,1.0,0.0,0.0,0.0,0.0,-2.41,0.0,0.0,0.0,0.122007,0.0,0.0,0.0,0.122007
Turin,2026-01-05T04:00:00+01:00,2026-01-05,4,1,5,0,-3.21,92,9.72,47,0.0,-42.822,180.0,0.0,0.937277,1.0,0.0,0.0,0.0,0.0,-3.21,0.0,0.0,0.0,0.153094,0.0,0.0,0.0,0.153094
Turin,2026-01-05T05:00:00+01:00,2026-01-05,5,1,5,0,-2.61,90,9.6,36,0.0,-32.283,359.995,0.0,0.971759,1.0,0.0,0.0,0.0,0.0,-2.61,0.0,0.0,0.0,0.228881,0.0,0.0,0.0,0.228881
Turin,2026-01-05T06:00:00+01:00,2026-01-05,6,1,5,0,-0.58,80,8.8,49,0.0,-21.757,360.0,0.0,0.92444,1.0,0.0,0.0,0.0,0.0,-0.58,0.0,0.0,0.0,0.346938,0.0,0.0,0.0,0.346938
Turin,2026-01-05T07:00:00+01:00,2026-01-05,7,1,5,0,-0.13,89,9.69,51,0.0,-11.57,360.0,0.0,0.917224,1.0,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,0.0,0.448072,0.0,0.0,0.0,0.448072
